"test_time";"follow";"engage";"social_time";"social_type";"test_errors"
294;-0,492;-0,389;345;"3";1
270;0,595;1,362;445;"1";2
267;0,784;0,602;293;"3";4
247;1,191;0,907;328;"1";1
327;0,52;0,545;348;"1";1
305;-0,654;-0,515;172;"2";2
351;0,193;-0,26;162;"3";1
227;0,079;0,535;240;"1";4
367;-0,557;-1,179;95;"1";0
390;-0,128;-0,2;242;"1";2
291;-0,61;0,104;323;"2";2
368;-0,222;-0,34;145;"1";3
366;-0,365;-0,858;189;"2";1
266;1,125;1,056;378;"1";4
358;0,19;-1,344;27;"1";3
366;-0,219;-0,363;150;"2";2
295;0,642;0,691;411;"1";2
238;0,938;0,595;326;"3";1
321;-1,305;-1,21;210;"1";3
484;-1,371;-1,866;147;"2";2
294;0,924;0,897;262;"1";5
256;0,943;0,412;388;"3";2
260;0,978;1,578;423;"3";2
277;-1,756;-0,348;195;"3";0
243;-0,836;0,196;307;"1";0
300;-0,559;-0,702;183;"3";0
293;0,882;0,204;358;"1";1
299;0,524;-0,171;269;"3";1
262;-0,647;-0,033;255;"2";2
280;-0,236;-0,263;227;"1";1
289;0,833;0,11;196;"1";3
255;1,032;0,791;278;"2";0
355;-1,345;-1,377;189;"1";1
376;-2,083;-1,714;12;"3";2
279;-0,762;0,151;243;"2";1
225;1,528;1,37;430;"3";0
334;-1,039;-0,587;300;"2";1
296;0,43;-0,599;223;"2";1
321;-1,181;-0,803;195;"1";1
276;0,084;0,021;359;"3";4
248;-0,768;-0,644;282;"1";3
278;-0,475;-0,834;222;"3";2
362;-1,727;-1,625;294;"3";2
421;-1,438;-2,101;68;"2";3
262;-1,092;-1,265;174;"3";1
421;-1,6;-2,104;100;"2";1
188;0,826;0,769;301;"2";4
272;0,3;0,175;371;"2";2
307;0,759;0,254;213;"1";3
380;-1,208;-0,769;285;"2";3
211;-0,198;0,472;331;"3";1
221;1,402;0,889;418;"3";0
230;-0,136;0,564;359;"2";1
308;-0,677;-1,145;227;"3";2
280;0,104;0,914;374;"2";4
306;1,016;0,743;339;"3";2
262;0,637;1,186;293;"3";3
295;1,762;1,522;454;"1";3
311;-0,712;-1,613;161;"2";2
262;-0,853;-0,273;278;"2";1
278;-2,513;-1,88;199;"1";0
333;-0,666;-0,884;175;"3";3
284;0,191;0,376;390;"3";5
269;-0,214;-0,264;205;"1";5
324;-0,692;-0,619;272;"1";1
150;2,638;2,116;504;"2";1
306;-0,211;0,594;246;"2";0
278;1,08;0,505;383;"1";0
243;0,321;-0,148;269;"1";1
452;-1,675;-2,023;0;"3";2
223;1,564;1,354;300;"3";0
282;0,126;0,21;301;"2";1
266;0,325;0,534;266;"1";1
224;0,424;0,728;328;"2";0
273;0,96;0,999;345;"2";0
268;-1,382;-0,656;230;"1";1
180;0,847;1,532;412;"2";1
378;-0,426;-1,141;105;"3";2
199;0,489;0,333;340;"3";0
201;0,873;0,587;412;"3";4
310;0,94;1,394;375;"3";2
375;-0,586;-0,855;166;"1";1
245;-0,123;0,177;266;"1";4
325;-1,166;-1,209;206;"2";1
253;0,241;1,108;297;"3";1
190;0,707;1,154;364;"3";1
225;0,342;0,772;250;"1";1
298;1,147;1,133;317;"1";0
259;1,24;0,8;371;"1";2
207;-0,045;0,749;419;"3";3
358;-0,922;-1,091;204;"1";3
298;2,045;2,196;473;"1";0
262;0,429;0,667;395;"3";1
291;0,096;-0,293;248;"3";1
353;-1,334;-1,392;102;"3";2
264;0,14;0,216;315;"1";2
222;-0,396;-0,55;249;"3";2
377;-1,605;-1,323;142;"2";3
206;1,775;1,317;476;"3";1
233;1,05;0,657;383;"3";1
