"sub";"post";"social_time";"social_type";"post_type";"test_time";"accuracy"
"1";"1";1,084;2;2;-1,28678486653359;"1"
"1";"2";1,084;2;1;-0,282749737915854;"0"
"1";"3";1,084;2;2;-1,22682563033317;"0"
"1";"4";1,084;2;1;0,240321681384637;"1"
"1";"5";1,084;2;2;0,130535267418102;"0"
"1";"6";1,084;2;1;-0,557563880731703;"1"
"1";"7";1,084;2;2;-0,207246133002938;"0"
"1";"8";1,084;2;1;-0,98943773924296;"0"
"1";"9";1,084;2;2;-0,336196093942915;"1"
"1";"10";1,084;2;1;0,0723053301392795;"0"
"1";"11";1,084;2;2;0,232345377392018;"1"
"1";"12";1,084;2;1;-1,02045229058638;"1"
"1";"13";1,084;2;2;-0,627278003267063;"0"
"1";"14";1,084;2;1;0,885346584610958;"1"
"1";"15";1,084;2;2;-0,336442330265243;"0"
"1";"16";1,084;2;1;-1,21522586618758;"0"
"1";"17";1,084;2;2;-0,716123322950718;"0"
"1";"18";1,084;2;1;-0,770107701329099;"1"
"1";"19";1,084;2;2;-0,681652470723382;"1"
"1";"20";1,084;2;1;-0,0879436512851082;"0"
"2";"1";1,784;1;2;0,0397375717644058;"1"
"2";"2";1,784;1;1;-0,538167735940827;"0"
"2";"3";1,784;1;2;0,851404798562107;"1"
"2";"4";1,784;1;1;-0,246541035837013;"0"
"2";"5";1,784;1;2;0,383362505776382;"1"
"2";"6";1,784;1;1;-0,543637292697703;"1"
"2";"7";1,784;1;2;0,222845212153684;"1"
"2";"8";1,784;1;1;-0,571034354588194;"1"
"2";"9";1,784;1;2;0,594272758636547;"1"
"2";"10";1,784;1;1;0,195951507235602;"1"
"2";"11";1,784;1;2;1,41522071675481;"1"
"2";"12";1,784;1;1;0,907359540421685;"0"
"2";"13";1,784;1;2;-0,716560099916821;"1"
"2";"14";1,784;1;1;-0,565496472587447;"0"
"2";"15";1,784;1;2;-0,234122336393408;"1"
"2";"16";1,784;1;1;-1,65401975338453;"0"
"2";"17";1,784;1;2;-0,256903495059263;"0"
"2";"18";1,784;1;1;0,1176878380253;"0"
"2";"19";1,784;1;2;0,305198397785795;"1"
"2";"20";1,784;1;1;-0,374933195166847;"0"
"3";"1";-2,016;2;2;-0,528994855512248;"1"
"3";"2";-2,016;2;1;0,0472039041084052;"1"
"3";"3";-2,016;2;2;-0,0654366692388739;"1"
"3";"4";-2,016;2;1;0,598028219416197;"0"
"3";"5";-2,016;2;2;0,377503502413642;"1"
"3";"6";-2,016;2;1;-0,987383724745621;"1"
"3";"7";-2,016;2;2;0,693805707631234;"1"
"3";"8";-2,016;2;1;0,147301252782766;"0"
"3";"9";-2,016;2;2;-0,417167028178643;"0"
"3";"10";-2,016;2;1;-0,700455182728505;"1"
"3";"11";-2,016;2;2;-0,321343067109;"0"
"3";"12";-2,016;2;1;0,349005236483124;"1"
"3";"13";-2,016;2;2;-0,209616996134938;"1"
"3";"14";-2,016;2;1;-0,0513401872743211;"1"
"3";"15";-2,016;2;2;0,239484857952729;"1"
"3";"16";-2,016;2;1;-0,810263196107892;"1"
"3";"17";-2,016;2;2;-0,032637871475239;"0"
"3";"18";-2,016;2;1;-1,60643617542372;"0"
"3";"19";-2,016;2;2;-0,857203019387208;"0"
"3";"20";-2,016;2;1;0,0688971586406327;"0"
"4";"1";-0,016;1;2;-0,732523755658743;"0"
"4";"2";-0,016;1;1;-0,0165880408003659;"1"
"4";"3";-0,016;1;2;-0,665559923430912;"0"
"4";"4";-0,016;1;1;-0,00292407548709104;"0"
"4";"5";-0,016;1;2;0,0254360125391929;"0"
"4";"6";-0,016;1;1;0,751286342201835;"1"
"4";"7";-0,016;1;2;0,236069321468594;"1"
"4";"8";-0,016;1;1;0,157749302140223;"1"
"4";"9";-0,016;1;2;0,393605354387389;"0"
"4";"10";-0,016;1;1;-0,342957019255654;"1"
"4";"11";-0,016;1;2;-0,587207116338225;"0"
"4";"12";-0,016;1;1;-0,135856249976199;"0"
"4";"13";-0,016;1;2;-1,57035390662041;"0"
"4";"14";-0,016;1;1;-1,29711800725931;"0"
"4";"15";-0,016;1;2;-0,0696312438626941;"1"
"4";"16";-0,016;1;1;-1,39044788683654;"0"
"4";"17";-0,016;1;2;-0,0195627212453215;"0"
"4";"18";-0,016;1;1;-0,95729247916559;"0"
"4";"19";-0,016;1;2;-0,214686203297998;"1"
"4";"20";-0,016;1;1;0,156356236306185;"1"
"5";"1";-1,316;2;2;-0,689818898486427;"0"
"5";"2";-1,316;2;1;0,426846040290168;"1"
"5";"3";-1,316;2;2;-1,23029168628292;"0"
"5";"4";-1,316;2;1;-0,11646574218417;"0"
"5";"5";-1,316;2;2;-0,579433776468397;"0"
"5";"6";-1,316;2;1;-0,726175461683062;"1"
"5";"7";-1,316;2;2;-0,531452191969008;"0"
"5";"8";-1,316;2;1;-0,665465910218991;"0"
"5";"9";-1,316;2;2;0,550317972188511;"1"
"5";"10";-1,316;2;1;0,201409586037906;"0"
"5";"11";-1,316;2;2;-1,2846175106803;"1"
"5";"12";-1,316;2;1;-0,713700010510606;"1"
"5";"13";-1,316;2;2;-0,554800225411475;"0"
"5";"14";-1,316;2;1;-0,422461584682605;"1"
"5";"15";-1,316;2;2;0,148819887574971;"0"
"5";"16";-1,316;2;1;-0,0529061902387117;"0"
"5";"17";-1,316;2;2;-0,418428912102503;"1"
"5";"18";-1,316;2;1;-1,07872019378094;"0"
"5";"19";-1,316;2;2;-0,129978538203696;"0"
"5";"20";-1,316;2;1;0,973303407439879;"1"
"6";"1";1,784;1;2;0,52317382304843;"1"
"6";"2";1,784;1;1;-1,37113601605903;"0"
"6";"3";1,784;1;2;-0,00335081002369944;"1"
"6";"4";1,784;1;1;0,687816127235018;"1"
"6";"5";1,784;1;2;0,353667069222012;"1"
"6";"6";1,784;1;1;0,415845478364739;"1"
"6";"7";1,784;1;2;0,141211018196175;"0"
"6";"8";1,784;1;1;0,170164647937247;"1"
"6";"9";1,784;1;2;0,395407867924615;"0"
"6";"10";1,784;1;1;-0,651402963503669;"0"
"6";"11";1,784;1;2;-0,215447920284573;"1"
"6";"12";1,784;1;1;-0,306166643773021;"1"
"6";"13";1,784;1;2;-0,0451944989311776;"0"
"6";"14";1,784;1;1;0,621672027499387;"1"
"6";"15";1,784;1;2;0,10209036434286;"1"
"6";"16";1,784;1;1;0,655613576427845;"1"
"6";"17";1,784;1;2;-0,292732196253752;"0"
"6";"18";1,784;1;1;0,00171503615560627;"0"
"6";"19";1,784;1;2;-0,344356334963375;"0"
"6";"20";1,784;1;1;-0,350773000061184;"1"
"7";"1";1,884;2;2;-0,615385441256059;"1"
"7";"2";1,884;2;1;0,166036348425521;"0"
"7";"3";1,884;2;2;0,353900027536146;"0"
"7";"4";1,884;2;1;0,730014700554168;"0"
"7";"5";1,884;2;2;0,569908389756404;"1"
"7";"6";1,884;2;1;-0,510312590442695;"0"
"7";"7";1,884;2;2;0,57521885492454;"0"
"7";"8";1,884;2;1;0,0162031655974168;"1"
"7";"9";1,884;2;2;0,0423478467216244;"0"
"7";"10";1,884;2;1;0,100414522687453;"0"
"7";"11";1,884;2;2;1,09094013184572;"1"
"7";"12";1,884;2;1;0,13605563922566;"0"
"7";"13";1,884;2;2;0,352821479237563;"1"
"7";"14";1,884;2;1;1,13625616811968;"1"
"7";"15";1,884;2;2;0,330658010049788;"1"
"7";"16";1,884;2;1;0,430108385805909;"0"
"7";"17";1,884;2;2;-0,393619041138377;"1"
"7";"18";1,884;2;1;-1,05296272297463;"0"
"7";"19";1,884;2;2;0,207290883079136;"0"
"7";"20";1,884;2;1;0,590151485018024;"1"
"8";"1";-0,516;1;2;-0,325316226202774;"1"
"8";"2";-0,516;1;1;-0,917621195515813;"1"
"8";"3";-0,516;1;2;-0,599732667791773;"1"
"8";"4";-0,516;1;1;-1,01219451257912;"1"
"8";"5";-0,516;1;2;-0,336160841165292;"0"
"8";"6";-0,516;1;1;-1,05790127101277;"1"
"8";"7";-0,516;1;2;-0,180815886635302;"0"
"8";"8";-0,516;1;1;0,112353072900334;"0"
"8";"9";-0,516;1;2;-1,11042135072557;"0"
"8";"10";-0,516;1;1;-1,15756162114397;"0"
"8";"11";-0,516;1;2;-1,49757255895887;"0"
"8";"12";-0,516;1;1;-1,13746685013001;"0"
"8";"13";-0,516;1;2;-0,726122768849457;"0"
"8";"14";-0,516;1;1;-0,812750165586228;"1"
"8";"15";-0,516;1;2;-0,899728452055204;"1"
"8";"16";-0,516;1;1;-0,361448716640785;"1"
"8";"17";-0,516;1;2;-0,692287037392452;"0"
"8";"18";-0,516;1;1;-0,889355094013713;"0"
"8";"19";-0,516;1;2;-1,16796928077797;"0"
"8";"20";-0,516;1;1;-0,613071828894422;"0"
"9";"1";-2,616;2;2;-0,660029334282682;"1"
"9";"2";-2,616;2;1;-0,653279931679597;"0"
"9";"3";-2,616;2;2;0,149840392487579;"0"
"9";"4";-2,616;2;1;0,486370936260629;"0"
"9";"5";-2,616;2;2;0,104340283488252;"1"
"9";"6";-2,616;2;1;0,309978301855379;"0"
"9";"7";-2,616;2;2;0,127012861583551;"0"
"9";"8";-2,616;2;1;-0,289100353378777;"0"
"9";"9";-2,616;2;2;1,27395587129384;"1"
"9";"10";-2,616;2;1;1,06083514319694;"1"
"9";"11";-2,616;2;2;0,138884465897555;"0"
"9";"12";-2,616;2;1;0,506649295898393;"1"
"9";"13";-2,616;2;2;0,248316768684362;"0"
"9";"14";-2,616;2;1;0,197909284666346;"0"
"9";"15";-2,616;2;2;0,23565981926474;"0"
"9";"16";-2,616;2;1;-0,228527082728241;"1"
"9";"17";-2,616;2;2;0,582325721529524;"0"
"9";"18";-2,616;2;1;-1,17785555205745;"0"
"9";"19";-2,616;2;2;0,806515228650831;"1"
"9";"20";-2,616;2;1;-0,539126397375297;"0"
"10";"1";-0,116;1;2;-0,936457478501955;"0"
"10";"2";-0,116;1;1;-1,74975985603015;"0"
"10";"3";-0,116;1;2;0,0392453779117436;"1"
"10";"4";-0,116;1;1;0,340708810208775;"0"
"10";"5";-0,116;1;2;0,161616934458683;"0"
"10";"6";-0,116;1;1;-1,290453575523;"1"
"10";"7";-0,116;1;2;-0,476508216573359;"1"
"10";"8";-0,116;1;1;-1,35057155582715;"0"
"10";"9";-0,116;1;2;-0,469980697388255;"1"
"10";"10";-0,116;1;1;-2,08154363906665;"0"
"10";"11";-0,116;1;2;-0,00628797935195483;"1"
"10";"12";-0,116;1;1;-1,44009770055783;"0"
"10";"13";-0,116;1;2;-0,579368215832594;"1"
"10";"14";-0,116;1;1;-0,76859934311369;"0"
"10";"15";-0,116;1;2;0,0730159145768098;"1"
"10";"16";-0,116;1;1;-0,273766309031853;"0"
"10";"17";-0,116;1;2;-0,647211635292174;"0"
"10";"18";-0,116;1;1;-1,23556868282437;"0"
"10";"19";-0,116;1;2;-0,630048153346375;"1"
"10";"20";-0,116;1;1;-1,89802748637757;"0"
"11";"1";2,084;2;2;0,711032550336096;"1"
"11";"2";2,084;2;1;0,826837095128699;"1"
"11";"3";2,084;2;2;1,42747065527307;"1"
"11";"4";2,084;2;1;0,925139367001425;"0"
"11";"5";2,084;2;2;1,0493537276282;"1"
"11";"6";2,084;2;1;-0,304601963479439;"1"
"11";"7";2,084;2;2;1,51523255792363;"1"
"11";"8";2,084;2;1;1,15106654801911;"1"
"11";"9";2,084;2;2;1,3654684505813;"0"
"11";"10";2,084;2;1;0,651666606220535;"1"
"11";"11";2,084;2;2;0,328626390802296;"1"
"11";"12";2,084;2;1;0,178967820339835;"0"
