"A","pass","math_test","math","activity_score","activity","school"
1,1,46.72,-0.328,3,-0.364,1
2,1,55.54,0.554,5,1.029,1
3,1,77.18,2.718,6,2.429,1
4,1,67.98,1.798,4,0.69,1
5,0,36.35,-1.365,5,1.798,1
6,1,42.86,-0.714,2,-1.179,1
7,1,55.19,0.519,3,-0.626,1
8,1,46.99,-0.301,3,-0.438,1
9,1,61.2,1.12,2,-1.609,1
10,1,43.89,-0.611,3,-0.951,1
11,1,51.67,0.167,3,-0.064,1
12,1,48.88,-0.112,3,-0.441,1
13,1,63.98,1.398,4,0.678,1
14,1,53.17,0.317,2,-1.205,1
15,1,43.63,-0.637,4,0.047,1
16,1,45.64,-0.436,2,-1.131,1
17,1,46.08,-0.392,5,1.027,1
18,1,38.6,-1.14,3,-0.354,1
19,0,42.51,-0.749,5,1.543,1
20,1,75.52,2.552,1,-2.174,1
21,1,59.76,0.976,3,-0.792,1
22,1,41.59,-0.841,3,-0.995,1
23,1,52.96,0.296,3,-0.15,1
24,1,58.32,0.832,5,1.191,1
25,1,58.4,0.84,3,-0.203,1
26,1,56.25,0.625,4,0.488,1
27,1,35.519999999999996,-1.448,2,-1.643,1
28,1,51.78,0.178,2,-1.677,1
29,1,47.21,-0.279,3,-0.731,1
30,1,44.12,-0.588,4,0.346,1
31,1,53.34,0.334,3,-0.267,1
32,1,56.35,0.635,3,-0.332,1
33,1,36.9,-1.31,2,-1.28,1
34,1,42.05,-0.795,3,-0.09,1
35,1,35.22,-1.478,3,-0.295,1
36,1,67.61,1.761,3,-0.084,1
37,1,64.22,1.422,3,-0.307,1
38,1,55.08,0.508,4,0.843,1
39,0,53.86,0.386,5,1.571,1
40,1,42.83,-0.717,4,0.141,1
41,1,50.28,0.028,3,-0.269,1
42,1,66.22,1.622,2,-1.06,1
43,1,43.5,-0.65,4,0.725,1
44,1,69.85,1.985,5,1.114,1
45,1,64.46,1.446,3,-0.572,1
46,1,57.11,0.711,3,-0.229,1
47,0,45.42,-0.458,6,2.808,1
48,1,40.94,-0.906,2,-1.074,1
49,0,33.65,-1.635,6,2.068,1
50,1,54.61,0.461,4,0.248,1
51,1,28.34,-2.166,2,-1.91,1
52,1,54.55,0.455,4,0.531,1
53,1,38.17,-1.183,4,0.441,1
54,1,46.89,-0.311,1,-2.304,1
