"anchor";"answer1";"answer2";"answer3";"gender";"age";"student";"groups";"geo_know"
10;"more";40;10;"female";35;1267612;0;10.644180384708
10;"less";9;25;"male";30;1267612;0;2.025877653331
10;"more";15;8;"female";52;1267612;0;3.27347285724677
10;"more";20;15;"female";22;1267612;0;5.96167075142998
10;"more";20;20;"male";20;1267612;0;7.05242086025188
80;"less";30;20;"male";31;1267612;1;6.57022326904256
80;"more";85;5;"female";17;1267612;1;25.5197775764538
80;"less";40;10;"male";58;1267612;1;12.3562990715992
80;"less";40;30;"male";34;1267612;1;10.7480810900403
80;"more";81.75;15.34;"male";21;1267612;1;25.1399156140253
10;"more";20;35;"female";21;1197371;0;7.82894257690528
10;"less";8;11;"female";21;1197371;0;2.64535154042912
10;"more";20;10;"female";53;1197371;0;5.68286429057556
10;"more";30;15;"male";25;1197371;0;10.40660776337
10;"less";3.5;30;"male";22;1197371;0;1.36355330726644
80;"less";60;40;"female";19;1197371;1;16.2876347594804
80;"less";30;40;"female";19;1197371;1;8.24776234184166
80;"less";60;20;"female";19;1197371;1;19.0481096011963
80;"less";40;25;"male";20;1197371;1;9.52509138228835
80;"less";45;10;"female";21;1197371;1;14.3856695041477
10;"more";13;15;"male";12;1279459;0;4.08037049920634
10;"less";7.5;8;"male";22;1279459;0;3.31039603018887
10;"less";8;3;"male";22;1279459;0;4.8432146334731
10;"more";17;10;"female";23;1279459;0;3.98839222783414
10;"less";9;13;"male";19;1279459;0;3.37686559372246
80;"less";55;18;"male";25;1279459;1;18.3816528828211
80;"less";30;40;"male";21;1279459;1;8.99707631176172
80;"less";16.7;20;"female";23;1279459;1;4.70997279070098
80;"less";73;68;"male";20;1279459;1;20.9625087808643
80;"less";5;10;"male";20;1279459;1;1.2553960095849
10;"less";5;20;"male";25;1267469;0;0.552950173297619
10;"less";4;10;"male";21;1267469;0;0.602015131968869
10;"more";20;15;"female";21;1267469;0;6.84088001343098
10;"more";20;25;"female";49;1267469;0;4.86197444786079
10;"less";5;20;"male";53;1267469;0;2.65984210406607
80;"less";30;20;"female";20;1267469;1;9.2063295429597
80;"less";30;30;"female";20;1267469;1;9.98121299151728
80;"less";20;30;"female";20;1267469;1;5.92218255596456
80;"less";40;25;"male";24;1267469;1;9.70775371845984
80;"less";40;30;"male";23;1267469;1;11.7462084429553
10;"more";25;35;"male";35;1104306;0;10.1597995067239
10;"more";15;20;"male";52;1104306;0;5.69190790145521
10;"more";18;20;"male";25;1104306;0;4.6067663773695
10;"more";25;20;"female";57;1104306;0;7.63988402271673
10;"more";20;15;"female";20;1104306;0;3.188997181007
80;"less";50;10;"male";23;1104306;1;15.2071465220442
80;"less";20;10;"female";49;1104306;1;6.07047448131057
80;"less";40;25;"female";27;1104306;1;9.72396179517667
80;"less";60;20;"male";39;1104306;1;18.0492009471746
80;"less";50;15;"male";26;1104306;1;18.0265176334462
10;"more";12;5;"female";59;1266268;0;1.76740150887107
10;"more";27;15;"male";40;1266268;0;7.42348408927368
10;"more";20;30;"female";21;1266268;0;7.98273302000744
10;"more";15;10;"male";30;1266268;0;6.73542520612367
10;"less";7;5;"male";29;1266268;0;2.15533236643717
80;"less";20;25;"male";62;1266268;1;6.82714948015242
80;"less";60;25;"female";25;1266268;1;18.4816405596568
80;"less";30;30;"male";23;1266268;1;10.3065363646913
80;"less";35;10;"female";43;1266268;1;10.1576420873184
80;"less";30;20;"female";24;1266268;1;8.88204325489079
80;"less";35;25;"male";28;1195018;1;9.87279100459755
10;"more";20;15;"male";27;1195018;0;4.70620828742475
80;"less";40;20;"male";21;1195018;1;13.1688804312122
10;"more";25;20;"female";20;1195018;0;5.84526063321628
80;"less";60;10;"female";21;1195018;1;17.3281094549294
10;"more";15;20;"male";53;1195018;0;1.5025866815371
80;"less";55;25;"female";48;1195018;1;18.0021675877736
10;"more";25;15;"male";21;1195018;0;7.61836535670611
80;"less";15;20;"male";46;1195018;1;5.43221157911154
10;"more";30;20;"female";50;1195018;0;8.91900851128901
10;"more";20;20;"female";31;1029029;0;5.26747220905211
10;"more";60;20;"female";22;1029029;0;16.7006465999843
10;"more";15;15;"male";26;1029029;0;4.78227776280215
10;"more";20;10;"female";24;1029029;0;3.93762850795751
10;"more";15;25;"female";25;1029029;0;8.46279989272274
80;"less";65;20;"male";47;1029029;1;19.9711837691764
80;"less";65;30;"male";44;1029029;1;20.6223659944209
80;"less";60;40;"female";26;1029029;1;17.0192328587074
80;"less";75;20;"male";31;1029029;1;22.9556859269007
80;"less";70;15;"male";30;1029029;1;20.5577024491751
10;"more";15;15;"female";19;1282425;0;7.08917113826459
10;"more";10;20;"male";20;1282425;0;3.12294118095759
10;"more";25;20;"male";22;1282425;0;9.03917333350736
10;"more";15;15;"female";20;1282425;0;4.32736782406354
10;"more";20;18;"female";23;1282425;0;5.80939768447031
80;"less";65;50;"male";19;1282425;1;17.8529769993412
80;"less";50;35;"male";21;1282425;1;15.001543475738
80;"less";60;30;"female";19;1282425;1;18.5668662919551
80;"less";60;40;"female";18;1282425;1;18.0033685082831
80;"less";55;45;"male";22;1282425;1;18.4998681613356
10;"more";14;10;"female";35;1257277;0;5.21793229596834
10;"more";20;25;"female";21;1257277;0;6.62983601266178
10;"more";25;10;"female";23;1257277;0;7.64642734231104
10;"more";25;30;"female";19;1257277;0;7.21705077881563
10;"more";21;9;"female";22;1257277;0;7.95042141431229
80;"less";20;15;"male";29;1257277;1;5.70685403858611
80;"less";40;70;"female";22;1257277;1;10.8291804856449
80;"less";50;40;"female";21;1257277;1;16.5257717914231
80;"less";40;15;"male";26;1257277;1;13.0067684568945
80;"less";25;30;"male";22;1257277;1;7.76815525386935
10;"more";35;15;"male";59;1285580;0;9.71795330186917
10;"more";15;15;"female";57;1285580;0;3.99004048460049
10;"less";8;14;"female";33;1285580;0;1.07628466092541
10;"more";35;30;"male";32;1285580;0;8.55980743391358
10;"less";8;10;"female";29;1285580;0;2.77648386383823
80;"less";20;30;"female";24;1285580;1;5.18367076610782
80;"less";30;10;"female";20;1285580;1;7.94078317983662
80;"less";20;10;"female";20;1285580;1;5.54762701195444
80;"less";40;20;"male";23;1285580;1;12.3163421277011
80;"less";55;30;"female";21;1285580;1;16.9829792895231
10;"less";5;15;"male";20;1267531;0;2.71621351250547
10;"less";5;10;"male";17;1267531;0;2.52956348828185
10;"more";15;28;"female";20;1267531;0;6.06846791938971
10;"more";25;20;"male";21;1267531;0;7.60150532916573
10;"more";20;20;"female";20;1267531;0;5.5132086951703
80;"less";20;20;"female";51;1267531;1;5.96303418202759
80;"less";60;10;"male";17;1267531;1;18.560870831813
80;"less";25;25;"male";53;1267531;1;7.39889173978319
80;"less";30;10;"female";20;1267531;1;7.78198190616185
80;"less";30;20;"female";20;1267531;1;9.0348631383336
10;"less";8;5;"female";18;1282433;0;0.862055222866029
10;"less";7;15;"female";28;1282433;0;0.689857345445295
10;"less";7;14;"female";19;1282433;0;2.26645442299105
10;"less";5;2;"female";25;1282433;0;3.03819197136158
10;"more";20;15;"female";20;1282433;0;4.32305491323886
80;"less";50;50;"female";23;1282433;1;15.1576160421113
80;"more";83;14;"male";25;1282433;1;25.2743101714145
80;"less";60;30;"male";19;1282433;1;17.8569761625138
80;"less";55;30;"female";20;1282433;1;18.1419373604661
80;"less";4;10;"female";23;1282433;1;0.149172473255867
10;"less";8;6;"female";21;1234668;0;4.53895709646106
10;"less";5;7;"female";20;1234668;0;0.764827716934929
10;"less";7;7;"male";24;1234668;0;2.52964878007908
10;"more";15;20;"female";23;1234668;0;1.84283158931065
10;"more";20;15;"male";20;1234668;0;7.59463829210558
80;"less";50;40;"male";23;1234668;1;13.7567639725207
80;"more";85;70;"male";17;1234668;1;25.2770842548819
80;"less";65;50;"female";19;1234668;1;20.878066661895
80;"less";70;30;"female";22;1234668;1;21.8459486716622
80;"less";30;25;"male";21;1234668;1;9.0030954550281
10;"less";2;12;"female";52;1266330;0;3.22468991485626
10;"less";5;10;"male";55;1266330;0;1.76670314274539
10;"less";4;7;"female";26;1266330;0;-0.0916951360555442
10;"more";12;8;"male";26;1266330;0;2.71231869040381
10;"more";20;30;"female";56;1266330;0;6.21618695461616
80;"more";100;100;"male";47;1266330;1;31.3381979934029
80;"less";65;45;"female";14;1266330;1;18.3997549379716
80;"less";60;50;"female";19;1266330;1;16.5908307407736
80;"less";60;40;"female";17;1266330;1;19.0167210847786
80;"less";40;40;"female";47;1266330;1;15.3654330478487
10;"more";18;22;"male";20;1267582;0;5.72680534473183
10;"less";5;10;"female";48;1267582;0;3.93273967882463
10;"more";11.8;46;"female";17;1267582;0;3.28624217078578
10;"more";35;40;"female";18;1267582;0;9.75614296169639
10;"more";15;12;"male";50;1267582;0;2.23588738058271
80;"less";25;50;"female";46;1267582;1;7.26304581973183
80;"less";22;17;"male";20;1267582;1;6.97850230104068
80;"less";25;35;"female";15;1267582;1;6.56696956339982
80;"less";30;40;"female";44;1267582;1;10.1365343189807
80;"less";25;25;"male";47;1267582;1;5.70327065655823
10;"more";30;40;"male";28;1267728;0;7.38056898766949
10;"more";20;30;"male";24;1267728;0;6.01189624710126
10;"more";15;30;"male";52;1267728;0;3.46364566688501
10;"more";40;30;"female";23;1267728;0;13.1246227968173
10;"more";30;30;"female";17;1267728;0;10.8077379336438
80;"less";40;30;"male";25;1267728;1;10.7610637354135
80;"less";50;30;"female";50;1267728;1;11.6424308891188
80;"less";50;15;"female";45;1267728;1;12.1096246985321
80;"less";35;10;"female";21;1267728;1;9.60124570736125
80;"less";50;25;"male";48;1267728;1;15.1400694955744
